geneSymbol	female_invitro1	female_invitro2	female_invitro3	female_invitro4	female_invivo1	female_invivo2	female_invivo3	female_invivo4	asexual_invitro1	asexual_invitro2	asexual_invitro3	asexual_invitro4	female.vs.asexual_logFC	female.vs.asexual_FDR	mouse.vs.culture_female_logFC	mouse.vs.culture_female_FDR
cgd1_1000	7.760781231867503	8.105723391211264	7.020811427284485	7.9171904451546125	5.651277769784475	6.09390615362281	6.406332008995007	6.116136155063969	5.357142696267378	3.947325717671741	1.878306102573722	3.4690663739969203	4.144132571533559	7.044256108326953e-6	-1.5988058850036664	0.0021345308248084042
cgd1_1040	4.5133615264776346	5.225416256853677	4.747569237894197	5.586356472864725	6.261682403965865	6.4245823053175295	6.389541539536624	6.108886537809654	5.165499967687592	3.8135277973112007	4.378186195972393	5.233517460532188	0.19257472019923405	0.7695500297674046	1.4168320643084078	0.009884161625510738
cgd1_1100	11.041025055225834	10.414356016518038	10.611836182772018	10.643483839235977	11.046086688483399	11.467776642418157	11.455632392013934	10.585819647596082	5.097229064052353	5.314445191859205	4.917331527576587	4.804154073052983	5.686600766765103	1.907033102558845e-10	0.470547704755381	0.16919267620038253
cgd1_1110	8.276659428746514	8.460907901769687	7.836877855732097	7.950323958793374	8.3433366586151	9.039683239161441	9.042292490715058	8.093515426348544	5.337101519915611	6.645112889614895	6.369091248262053	5.57451304926343	2.2419424748089964	8.601722128804778e-5	0.529591723502806	0.2034160199478012
cgd1_1140	9.672241371099286	9.744832203834438	9.758979654690037	9.503475327938178	6.323640665321954	6.232226480689754	6.231335520025617	6.271509874468866	7.065204771505451	7.508504291530928	7.116933252836383	6.902497162221789	2.580334945443872	9.551676026532188e-8	-3.4228893509905376	3.169278660011531e-9
cgd1_1160	6.586111013972278	7.171955244092807	7.425080704904768	5.295784815776938	5.327615912352781	6.339059697601501	6.601781335099169	4.5442710232702455	3.6624901867294706	2.2897304912312286	0.22784728065998663	0.5794338545842741	5.100714580467721	3.2841268033411194e-5	-0.7498904022750708	0.23277765478641768
cgd1_1170	8.465275984158717	8.558358503428796	8.26702708712701	7.516254025988602	7.978223895351306	8.065557946461857	8.2279355006367485	7.077102537021635	6.4722180450832205	5.762161386491182	5.8463116528832355	4.82946092273222	2.5829737608164347	2.910147635418042e-5	-0.3420056428445024	0.44040162357412027
cgd1_1180	10.402494987772144	10.057531494577034	10.428107760554468	10.597339223164685	9.62177028399906	9.930946077282345	9.743715556800923	9.229193989193226	5.725183308795588	4.9790841599080125	6.189544549402376	4.828578436953152	4.848124314596755	1.079846928387952e-9	-0.7052492025548585	0.04177812560636136
cgd1_120	2.836226841602553	0.9046774910990981	2.7166375674958405	2.8539691523476542	5.8800862613479445	5.2347933217022184	5.514694124076102	4.919366115860552	4.823412887622392	4.616171798010347	4.615573802941835	5.858564127429386	-2.66669402379668	0.0022504778277709016	3.12449794308072	3.9840852635053694e-4
cgd1_1200	4.743243303331802	5.457896238657939	4.729846691310103	4.5447114696999895	8.926073316594508	8.964649548919388	8.929913775045225	8.280540862687085	7.935365241543069	7.4807716330742435	7.624897447185779	7.936634505711285	-2.86058634020743	9.460742108353043e-6	3.9162934479108307	2.4414674972740213e-7
