geneSymbol	female_invitro1	female_invitro2	female_invitro3	female_invitro4	female_invivo1	female_invivo2	female_invivo3	female_invivo4	asexual_invitro1	asexual_invitro2	asexual_invitro3	asexual_invitro4
cgd1_10	4.927002513663724	3.235050761618972	3.9076667150014117	0.871933722172587	2.138068810248609	2.496075880966633	3.0474923300338723	0.8719337221725845	3.9174268446751124	5.9200450514215754	3.751136548363426	4.976735470444162
cgd1_100	2.8057084289290173	4.244040736414144	0.871933722172587	0.871933722172587	3.474542787478596	2.300602654240555	2.6899166697265784	3.2671953035891494	4.511525794643856	4.824438962884216	3.355079656313013	2.84491776055312
cgd1_1000	7.763604216008494	8.105503466444544	7.017067172513889	7.884612237981814	5.6911828932565935	6.1282285006861805	6.435938634032501	6.064602109669198	5.3627888270225155	3.628410891303299	2.116183824198361	3.512170272092089
cgd1_1010	7.775597914573215	7.8277477955985	7.014551619794599	6.674534056392034	8.029214598865323	7.650403189041526	7.707765076713005	8.046719565501352	7.025505335657553	5.805382534874011	7.0273375379690775	6.760005315550941
cgd1_1040	4.539960388527611	5.223795377608534	4.729374693587097	5.414375370923127	6.2879437511629455	6.451939424272759	6.419491232639783	6.057088126056641	5.171946482963946	3.4595041540307956	4.4231956568011235	5.246338214754185
cgd1_1060	6.905841053980342	4.681840993302416	5.834019038251492	4.802346870945243	5.248031657191243	5.786944107298485	5.518425720850307	5.8104085004409125	7.055117137061434	6.9639927890989375	7.2503499208253075	6.926670457073328
cgd1_1080	2.6156697702326714	3.7263591825870495	3.0763760763786725	0.871933722172587	5.703129524193825	4.292458033117281	4.8191132193583295	5.749065315649109	3.5624169466305418	0.8719337221725845	2.4138521831930086	3.926786271041947
cgd1_1090	4.813660347929778	5.198038323815907	4.1689774466750436	0.871933722172587	4.428771109598798	6.554754574741764	6.8687380498286075	6.196174588952681	4.332598398072961	5.241434507266559	5.255815963706563	3.6712485175280745
cgd1_110	4.0166422989810835	2.4953806308880115	2.64182478375561	4.0365782846796625	4.041220419965848	5.102775173016945	5.172461443340066	4.799750893343777	3.5645975011911073	4.968694014420094	4.655206245950922	4.503212693010834
cgd1_1100	11.04131478450893	10.414311723793707	10.611526730413107	10.638621033445727	11.047044121829732	11.468609410153848	11.456530552589802	10.583539734758348	5.103987264951141	5.199034168838507	4.948455560417146	4.8213928761224265
cgd1_1110	8.278633943339722	8.46073600057798	7.834752774828484	7.918494011916298	8.34958089904298	9.044180115384734	9.047092503671813	8.080606961003234	5.342826481079742	6.600332128599209	6.3805462419588315	5.584644235929689
cgd1_1120	6.368879092837204	6.815193955455384	6.0885424222440765	5.421969431456439	6.760778856259179	6.561949921134053	6.819421391648886	5.41020587311102	5.936966597318804	7.130778798469571	6.335564660939634	6.597529596618007
cgd1_1130	4.429212625543894	5.4486468566801785	4.703787946113461	0.871933722172587	2.4266477122328087	3.9040079234446936	3.5993299416048283	0.8719337221725845	2.6799681703243694	0.8719337221725845	3.8743923656640225	2.565603124948545
cgd1_1140	9.672991425631064	9.74476168190642	9.758419929327914	9.492717840931656	6.348807466397097	6.26344422354365	6.264717052133128	6.225323391956748	7.066934914293448	7.484066393437557	7.123764811939211	6.9065406094459885
cgd1_1160	6.592477367634109	7.171534991334128	7.422252610657215	5.082458866973051	5.377386950538444	6.368071165876785	6.627669636759833	4.3853119649202865	3.680688239471147	0.8719337221725845	0.8719337221725845	0.8719337221725845
cgd1_1170	8.467008510677037	8.558197838813369	8.265450434213045	7.473076232119124	7.9862625304812385	8.074383145109353	8.236369597457603	7.0508623160474135	6.474827174472118	5.678458379102571	5.862741706986706	4.846401706652419
cgd1_1180	10.40294667886076	10.057474738872484	10.427756142698934	10.592317582801089	9.624345316064716	9.933370089886298	9.74666733836657	9.223337238006156	5.7295599456096324	4.83187968912951	6.202511097248126	4.8455295265215375
cgd1_120	2.9196221293666835	0.8719337221725845	2.640786591073193	0.871933722172587	5.914206912370978	5.296464618840288	5.56915363339094	4.798378324983777	4.831579668912401	4.423942929997488	4.653843854836461	5.86688972609891
cgd1_1200	4.765954765681335	5.456516727531014	4.711425806726956	4.165114279069667	8.9302442201304	8.969386352582383	8.935102344198835	8.269208915766505	7.936311825558136	7.455855132034029	7.629704306618893	7.938609873075988
cgd1_1210	5.735149537044125	5.238096402788563	4.7433761538644745	3.961465150695022	8.105154844848318	8.315989138189538	8.328356174164934	7.630263433522416	6.80546838797684	6.0595198694537125	7.421936297385791	8.099214630325601
cgd1_1220	8.42159399352729	6.292691859800403	6.986208685023504	6.096918725096219	9.158127017501753	8.973404134798873	8.764207697610038	9.276301912454674	7.707260383227478	6.203038574074921	6.411158100593235	6.6409901652590735
cgd1_1230	6.0438281972429335	5.979452702363508	5.729979499029806	5.354744965332347	5.758607734905435	5.585099281118203	5.718157373663993	4.648768606858591	6.645990815558109	6.171726050346603	6.81385553979958	6.648263871140733
cgd1_1240	6.105920583487789	5.747150658136537	6.651698766827293	7.1669110577922215	7.621904809259599	8.030077131328218	7.947525827636763	8.215428805832978	6.890067010041791	6.978871806649387	6.934659594488033	7.2251450331942735
cgd1_1250	8.888767106410896	8.981779262716037	8.487009977121787	8.530468859056617	7.9985928857887165	8.525545819253033	8.252441441609959	9.070739307215774	8.942801223433072	7.503131021916472	7.829898584743181	8.336191765512599
cgd1_1260	7.140098290552102	6.415804418210367	5.57487816225795	6.426286032041637	5.571276192675533	4.553529157100994	4.577862150658479	0.8719337221725845	4.397522369783584	3.719913296595493	3.3108872732842363	3.1222099399597867
cgd1_1270	9.028271688581237	9.105761609894333	9.234741903741819	9.93653218340786	7.740421419664282	7.7188804534890645	7.8136825840616035	7.525212281976655	6.16846326814143	5.927607553253186	3.7578767655718095	5.630524437485384
cgd1_1280	8.192195190787942	8.541336520089663	7.786662102875555	8.961674199154588	8.565613368525188	8.154671083268136	7.97296498961741	9.52436316243774	9.762042414626647	8.395089048397274	9.664578019748387	9.80529910407275
cgd1_1290	6.7271850018762285	7.769571336984674	6.896451126372768	8.669601987553857	7.430244404354081	7.057679505014659	6.948190836572573	8.485135589306084	8.08659299833648	7.287833260480068	8.742625166068825	8.819653865716166
cgd1_130	4.145912658619623	5.206464245763974	4.176944524045599	4.842966954464121	8.51837513808409	8.778489860188106	8.86848676524487	8.292497514977471	7.609981062551514	7.890372283237806	8.081968773700853	7.659323140096518
