geneSymbol	female_invitro1	female_invitro2	female_invitro3	female_invitro4	female_invivo1	female_invivo2	female_invivo3	female_invivo4	asexual_invitro1	asexual_invitro2	asexual_invitro3	asexual_invitro4	crypto_sporo_rep1	crypto_sporo_rep2	crypto_sporo_rep3	crypto_24hr_rep1	crypto_24hr_rep2	crypto_24hr_rep3	crypto_48hr_rep1	crypto_48hr_rep2	crypto_48hr_rep3
cgd4_3820	5.495694842575991	6.612104377603054	6.235654668888334	3.8242630855482362	5.267902512371095	6.786202097672103	7.086027728150254	4.921189424501058	5.416979608457966	5.552523018105798	4.435949379655193	5.395722553597936	1.6929951902663845	2.0367646117533726	2.956218998791003	6.75379560864571	6.55138955407249	6.994020683903397	6.872445483073351	6.884132931754345	6.886855901193105
cgd4_3830	7.261766689556696	6.980130046496757	6.436909730529954	4.758260619168617	6.197624762361344	6.910647001659716	7.230922276877521	6.034860272188067	2.747869898418015	3.5457920914751675	5.527592953204809	4.721133891862524	-1.2858200285029797	-1.2858200285029797	-0.40325609997021344	7.2833762570047496	7.209661671117036	7.173995962842857	6.953464617910749	7.022302931173069	6.903559029515955
cgd4_3840	6.779194883476231	6.621199698273261	6.937743069523585	6.73766932184521	5.969605900580804	6.420176983589797	6.715618684086723	6.030770687403059	4.4868519094855435	3.5418214526739145	5.204798443230763	3.5750080544268403	0.5176794126687462	0.7862040072305606	-0.25733782899947466	6.748050734571005	6.409184168871738	6.670552960545213	7.49043540070962	7.570916896934801	7.39096669558034
cgd4_3850	7.945701126046085	7.547566369409514	8.832126920533959	8.240038243749304	7.903786619959092	7.6635897949379554	7.475192000243961	9.520809773407626	9.31433587257404	8.8529559911602	9.239930078398272	9.720982199669443	3.353915636426462	2.919887513345223	3.4026843591114444	8.522755717933777	8.440044009539658	8.361582325650986	7.404260875437498	7.45039576846394	7.273361891012076
cgd4_3860	8.129791693925275	8.475255763005395	8.715648313420363	8.092166051272002	8.935569446624456	8.327511374760611	7.592500790090781	9.547474843562247	10.333132251809179	8.35674802933456	9.779073259163853	10.242256951724688	5.327714680024456	5.560215750404626	5.534945519673398	8.294688918475384	8.228900614354773	8.235221843224021	7.361303686673078	7.312294097455125	7.219031258939538
cgd4_3870	4.150077308504545	4.5866468530080695	2.308252444617002	3.7813288634017708	-1.2858200285029797	3.698196344735373	4.034654094767561	-1.2858200285029797	-1.2858200285029822	3.54715316674896	-1.2858200285029822	1.7215979827858556	-1.2858200285029797	-1.2858200285029797	0.04451056402403701	2.1498755829852754	1.7099304332071492	2.1192568421212252	7.119240236906683	7.261671013881519	7.429669952451968
cgd4_3880	4.084095187643793	4.778978225187343	4.982799194597269	3.97132090014031	4.4313716255830515	2.464001621556395	2.507961299893555	6.230574124595355	5.67284467596216	6.5049654366678045	4.993305596349844	5.545543869380269	7.266370081141762	6.980560310868374	7.296003058731683	6.045240987603867	6.13208876282004	5.856896510976997	5.739659405807917	5.589568738266163	5.6368720782076736
cgd4_3890	-1.2858200285029822	-1.2858200285029797	-1.2858200285029822	-1.2858200285029797	-1.2858200285029797	0.9198210384667805	0.3246211008883608	-1.2858200285029797	-1.2858200285029822	-1.2858200285029797	2.198815478481072	-1.2858200285029822	-1.2858200285029797	-1.2858200285029797	-1.2858200285029848	2.7140479049529733	3.39315533600033	2.536312442432088	2.294213540899212	1.6659106018250385	1.7336967283408302
cgd4_390	-1.2858200285029822	4.275455699192399	2.555602171568635	-1.2858200285029797	2.758785756232021	2.2640904618942788	3.326060059812743	-1.2858200285029797	3.9645258065581865	4.784977354551074	2.565506132286729	4.153307684233323	3.790462746675812	3.719456605512005	3.302967269765882	4.869725489760158	5.068926926883876	4.436588109584972	4.3420497036414325	4.504040483014855	4.516244313578646
cgd4_3910	7.300753550427701	7.807824858861745	8.044498976361691	6.3406344204952045	7.616238998493373	7.9510974210393	8.323952547864527	6.459705999983374	5.849326492660747	7.473146300180862	6.429017417215876	6.454375739152633	6.636818722357553	5.831734790562288	7.031812706308804	7.02915023159235	7.402529968035809	7.1116799562645125	7.934026296148234	8.149403607464045	7.970299228456757
cgd4_3930	4.626972070887337	5.424686396079534	4.474485295592043	-1.2858200285029797	3.4568333692841207	2.644584355424254	3.295700311572225	4.728817675394065	4.941843670187114	6.3519241193104365	5.558338794650299	4.625608569192652	5.287382293663531	4.382141995354357	5.32719327033585	5.844954316908031	5.671041003691409	5.697740018123988	5.839718684061671	6.078918014761494	6.101721834886252
cgd4_3940	-1.2858200285029822	-1.2858200285029797	-1.2858200285029822	-1.2858200285029797	-1.2858200285029797	-1.2858200285029797	-1.2858200285029822	-1.2858200285029797	-1.2858200285029822	-1.2858200285029797	-1.2858200285029822	-1.2858200285029822	1.1590186065707169	1.0243152211386892	0.2540066429242162	3.6668451692204984	3.432091272924072	3.4212893715331525	3.299707428962575	3.951392438275061	4.354453354254982
cgd4_3950	9.020976921106389	8.382669398753228	9.35301318462684	8.29210079508914	8.977952219161738	9.11361855128798	8.790500202047335	8.69508597404093	8.75485872681942	7.849132230661016	9.01875773700401	9.225344143149334	6.519601538586023	6.539909993359134	6.5749072303515	8.704022805343138	8.562114447026573	8.811829012165958	8.611259692950618	8.653144294931096	8.535700088290278
cgd4_3960	-1.2858200285029822	-1.2858200285029797	-1.2858200285029822	-1.2858200285029797	-1.2858200285029797	-1.2858200285029797	1.3301329197577312	-1.2858200285029797	-1.2858200285029822	-1.2858200285029797	-1.2858200285029822	-1.2858200285029822	0.3128949156782755	-1.2858200285029797	1.0013225506757442	4.606432221693036	4.492579030333477	4.223153093702622	3.4322692115803894	3.547476492377269	3.5896603042131803
cgd4_3970	6.869836276541853	6.88780239700252	7.322680676609188	4.8069053087818325	7.474542545855337	7.035567157547153	6.966907735421669	6.611765413618616	7.068326938374701	7.1327807612507295	7.814647052809042	7.362938193827066	8.914730457431205	8.990534822455166	8.73302566189583	7.818173116794544	7.465955395709517	7.606963506210775	7.933408384790066	7.8059563459555985	7.845051394744627
cgd4_3980	4.2116286130573926	4.075355175375173	3.8724609656580387	-1.2858200285029797	3.1185989134757177	4.044882403849825	4.096086709561664	2.996389989391593	-1.2858200285029822	-1.2858200285029797	2.3759162343072586	-1.2858200285029822	2.2306609963337762	1.8210113724360828	1.8767679267811557	2.537597754067584	2.2638688117773635	2.1455060390256495	4.367152467421094	4.702419627665004	3.9723546644483956
