geneSymbol	crypto_sporo_rep1	crypto_sporo_rep2	crypto_sporo_rep3	crypto_24hr_rep1	crypto_24hr_rep2	crypto_24hr_rep3	crypto_48hr_rep1	crypto_48hr_rep2	crypto_48hr_rep3	sexual.24hr.vs.asexual.48hr_logFC	sexual.24hr.vs.asexual.48hr_FDR	sporozoite.vs.asexual.48hr_logFC	sporozoite.vs.asexual.48hr_FDR
cgd1_100	0.3818051871933071	-0.5825723631730565	1.9379064006962343	5.247065473653823	5.529523606274225	5.429809032540958	5.04365759189045	4.806814308096217	4.792130469785338	-0.5143700597952021	0.1328919539409887	4.690788503573064	1.0911005360364725e-6
cgd1_1000	-4.839971981495423	-4.577729170010639	-5.166889739657474	3.819816869829246	4.286752451973567	4.445458287416169	4.999483027392068	5.381022839838965	5.3106679411820314	0.9933079556298496	0.002359849207585035	9.065866776626414	3.0427000407003583e-7
cgd1_1010	-0.26893411107134907	0.8573644800945845	0.8419168508504852	4.831236119100545	5.157185601299397	5.028248173010231	4.801383822835641	4.757070566426551	5.010848528937742	-0.1958120186101846	0.45763412017610133	4.544565234028254	1.4980880242011364e-7
cgd1_1020	-4.839971981495423	-4.577729170010639	-5.166889739657474	2.7322434147938988	2.6881719930377748	2.5173290580486545	1.603746699357479	0.9064642770088476	2.1445549765135206	-1.1386166202657033	0.06617567008402565	7.513389531955628	5.755645345715881e-7
cgd1_1030	0.30235646694668183	-0.11125670419225901	1.0594640337177401	3.289377042822858	3.185452368556908	2.945312594490738	1.8666594985156058	2.376637339691257	2.442728722869691	-0.9619705504138238	0.0916279374029168	2.66041200945234	3.710191575215137e-5
cgd1_1040	1.0129357221931585	-4.577729170010639	-0.1035609816993465	6.380732175842544	6.2379744310628364	6.430095828814043	6.973094081322537	6.727967329497775	6.744399106274891	0.5004790926445635	0.04869468428545768	7.366077135537985	7.282916975585081e-6
cgd1_1050	3.4320960146957855	3.611395991663094	3.425324584352129	4.592027813631048	5.000004512488741	4.564377895959329	4.17987817538682	3.4871928577368863	4.507751846812857	-0.7345626077641461	0.05458221549562701	1.2850543060256499	3.890921198609119e-5
cgd1_1070	6.7476095089101396	6.682752256169209	6.940432033947798	5.16945919921342	5.4184223125060935	5.191784647334327	4.680370577226991	4.5092037772084685	4.182606107555679	-0.7735349408718415	0.030629115915594772	-1.5151863694465817	4.907028353134835e-7
cgd1_1090	3.1624278891440545	2.6670073638778957	3.042718407014536	6.018248282155036	5.83112151727783	6.120942857458635	5.407293863977064	5.267262006820193	5.469805647985997	-0.5939809378664691	0.013129378722935075	2.9883338785700437	6.402272110248955e-9
cgd1_110	6.706287683340087	6.6274243221658455	6.87416736674681	2.2768424621422194	2.9937219764283745	2.5824407009978763	2.4366426788946227	2.084137144267855	2.8401018138678427	-0.2571679036441781	0.7060640699409206	-4.065395545019214	1.1187648620257013e-7
cgd1_1100	-3.197088772370264	-4.577729170010639	-5.166889739657474	3.6940960174125186	3.8674668599140447	3.7038094924369154	10.41194199779658	10.56382938056508	10.449550109098645	6.699172281646555	2.7542579473453006e-10	8.088629452720498	1.0285046267382835e-6
cgd1_1110	-0.4764849894944544	-4.577729170010639	-0.06784515439604984	6.46985838879653	6.8232687732928055	6.617090132699801	8.989224990592428	9.079765883937702	8.926577090072362	2.341681142113022	5.0251599864609305e-8	8.176830988768884	3.1969293494652183e-6
cgd1_1120	-0.5668310175829575	1.6375880662910072	1.7775136363260056	6.696166337387148	6.682649760967049	6.704457042882539	6.295763972917947	6.537240460489295	6.339216261724881	-0.3064018490888847	0.16872824398444175	5.71153781505175	9.358755942478965e-8
cgd1_1130	-4.839971981495423	-1.6265978330633248	-1.3122714462369198	4.781322715746362	4.7956810873468685	4.5051580234882875	4.576969497337798	4.505326170454134	4.741572098066206	-0.11843965966362635	0.7180429420300368	7.266991737586703	3.3813686458696403e-6
