geneSymbol	crypto_sporo_rep1	crypto_sporo_rep2	crypto_sporo_rep3	crypto_24hr_rep1	crypto_24hr_rep2	crypto_24hr_rep3	crypto_48hr_rep1	crypto_48hr_rep2	crypto_48hr_rep3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cgd1_10	5.0544479197948435	3.2295387078266216	3.99355626221868	-1.2864196035640993	1.772031971800032	2.3297571386396148	3.0191340228708006	-1.2864196035640993	3.8868198531051044	6.27768362713639	3.7482045853229113	5.057052997508033	6.232220264204698	5.634347911156055	6.244926042999848	5.848533411151016	5.940338902229501	5.82347541049068	5.330152378817319	5.150402919535402	5.243765913966399
cgd1_100	2.663463867931047	4.368256277745315	-1.2864196035640993	-1.2864196035640993	3.4933850823590014	2.0570021778650878	2.5696900701549135	2.975956326908108	4.53176641613844	5.139260650879409	3.29545112059963	2.6659309255427113	0.28723289589124357	-0.25371512781742706	1.5071752667728573	5.234410969694144	5.501707045842605	5.422456578496173	4.942352915202305	4.709422622427713	4.678815828774216
cgd1_1000	7.952839968870867	8.339535218294875	7.236348540617911	7.942723701211624	5.874148604635838	6.373848801894684	6.66867981542741	5.969792449638258	5.426083825101538	3.8337244818518026	1.6849195464556066	3.4634105621005045	-1.286419603564097	-1.2864196035640993	-1.286419603564097	3.8261191701504558	4.273608085121563	4.447878132441521	4.898555011562111	5.279797147607691	5.195121511718414
cgd1_1010	7.964915177309724	8.060119968259771	7.233803846509567	6.720991261919742	8.245896934144204	7.916371016103958	7.955203880661936	7.974772574558806	7.1244481283726975	6.1599485732230255	7.174180788712352	6.889261627919861	-0.12341864705661748	0.6981232173654581	0.6215080801102207	4.822350130425279	5.132543131293774	5.024108469816415	4.702292843251639	4.660087911578735	4.896494479902559
cgd1_1020	3.3642438996808672	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.286419603564097	-1.2864196035640993	-1.286419603564097	2.771890741856872	2.7254171294598573	2.5739690471273993	1.6171250983121654	0.9630244864897068	2.0696221987031733
cgd1_1030	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	0.23350015195556334	0.022164068543142686	0.7866394334385701	3.3089407891322242	3.2009792456159825	2.9833037395292927	1.859664407128114	2.3295466331781407	2.359356241068142
cgd1_1040	4.644638359397711	5.407181960218051	4.882319404309263	5.43178655849972	6.485243618713276	6.703864334028583	6.651943274191435	5.962117337614188	5.227761149004468	3.639520945594608	4.484356265355498	5.338565716352782	0.7460836830730717	-1.2864196035640993	-0.018294871080980674	6.361917017744684	6.205964378969855	6.417722797178216	6.862826779763531	6.621967843944887	6.625596467414362
cgd1_1050	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.2864196035640993	-1.286419603564097	2.864947103891578	3.129912971546726	2.8604984675821012	4.58584980033104	4.97696556063922	4.56523870340887	4.088471794834409	3.407141835669611	4.396045666511905
cgd1_1060	7.087057600139997	4.837777386789491	6.031926862998791	4.792893857970396	5.415625333828371	6.024149960145709	5.728578226687869	5.709641825603916	7.15439013703378	7.340614295374199	7.399536527742662	7.058074874003716	6.274928841613173	6.264388068548919	5.963418703376318	7.360503410552557	7.117285278620158	7.3082966600327595	6.586616972314232	6.612753303419811	6.538120377662314
cgd1_1070	2.87914210181124	3.307870396527307	3.505818568529494	-1.2864196035640993	-1.2864196035640993	1.740690771758235	2.896288325545438	-1.2864196035640993	-1.2864196035640993	6.3590755185208945	3.516037371514088	-1.286419603564097	6.109695395529376	6.144816877858839	6.302706843021289	5.157428814816006	5.391469389608036	5.186228734088868	4.582531067636745	4.414481294298728	4.073169615809459
cgd1_1080	2.4181686074577553	3.7966886104201047	3.033507864359938	-1.2864196035640993	5.886445871611622	4.454948211460939	4.998769805181087	5.6466926867610905	3.488385568249028	-1.2864196035640993	2.113585027747307	3.9299727392747363	3.26360269719285	3.1176833679141644	3.363483969164046	4.403455321078535	4.689730276913382	4.370296611498063	3.5610559121459606	4.0870822406831415	3.4427159015083295
cgd1_1090	4.935093410255821	5.3803502363255795	4.280819480038123	-1.2864196035640993	4.550985760126457	6.808398711281465	7.107999696399685	6.10405184196209	4.339833181044488	5.576614903485293	5.362576953447773	3.6444291123801227	2.6109716450886356	2.242471092810962	2.5013587750992796	6.000909122999063	5.801267712479963	6.10977075617717	5.3032873504447675	5.166680486288566	5.353719772691879
cgd1_110	4.07803386032931	2.2967950197877545	2.486609139914627	3.971128322872708	4.13026694235749	5.315466688314479	5.369443121940552	4.660988627930302	3.4908713179661337	5.291266961296158	4.7319773697133245	4.556011763147911	6.068608870010694	6.08979283852054	6.2367790039320505	2.3394147786043806	3.016786478714664	2.635891924000652	2.3957526903865296	2.0506244011793933	2.747825525716303
cgd1_1100	11.239354134588618	10.654565661952425	10.84604313797302	10.704239880060015	11.270910280177615	11.744569240977079	11.71350552138858	10.517941183738529	5.1568795438142905	5.532414363723736	5.041503398864801	4.893711821835786	-1.1286794923144612	-1.2864196035640993	-1.286419603564097	3.703125579022222	3.862823555104129	3.7194046014925286	10.298766365612694	10.454946435142569	10.328977332926172
